protein_id,clade,length,pfam_id,taxa_id
A0A0P4Z598,E,8135,PF00041,35525
A0A0P4ZII1,E,645,mobidb-lite,35525
A0A0P4ZIW0,E,4128,PF00435,35525
A0A0P4ZLK9,E,22242,mobidb-lite,35525
A0A0P4ZMH3,E,437,PF01839,35525
A0A0P4ZST9,E,537,mobidb-lite,35525
A0A0P4ZU71,E,735,mobidb-lite,35525
A0A0P5A4Q9,E,2143,PF14625,35525
A0A0P5A5C0,E,886,mobidb-lite,35525
A0A0P5AA04,E,413,PF01603,35525
A0A0P5ABJ5,E,610,PF00621,35525
A0A0P5ACI3,E,354,PF00271,35525
A0A0P5AHX3,E,2157,PF02822,35525
A0A0P5AJ97,E,572,PF08418,35525
A0A0P5AKL3,E,937,CoiledCoil,35525
A0A0P5AKV2,E,1796,PF00053,35525
A0A0P5BDA8,E,891,PF00069,35525
A0A0P5BPZ4,E,682,mobidb-lite,35525
A0A0P5BRF9,E,836,PF02854,35525
A0A0P5BS28,E,1853,mobidb-lite,35525
A0A0P5BSQ6,E,621,PF00415,35525
A0A0P5BTQ3,E,916,mobidb-lite,35525
A0A0P5C078,E,5113,PF13499,35525
A0A0P5C0J8,E,1247,PF00623,35525
A0A0P5C8I6,E,1514,PF07645,35525
A0A0P5CCT6,E,1215,PF02210,35525
A0A0P5CNU0,E,218,PF09030,35525
A0A0P5CQG2,E,1725,PF01391,35525
A0A0P5CR94,E,599,PF00387,35525
A0A0P5CS56,E,807,PF01434,35525
A0A0P5CT72,E,1014,PF00634,35525
A0A0P5CV85,E,420,PF00379,35525
A0A0P5CWG0,E,479,PF07714,35525
A0A0P5CYV6,E,498,PF12044,35525
A0A0P5D482,E,717,PF07731,35525
A0A0P5D5V6,E,1090,PF00664,35525
A0A0P5DAR2,E,492,PF07707,35525
A0A0P5DB71,E,865,PF15501,35525
A0A0P5DVC8,E,854,mobidb-lite,35525
A0A0P5DZR7,E,716,mobidb-lite,35525
A0A0P5E359,E,613,LowComplexity,35525
A0A0P5E6T7,E,569,PF01344,35525
A0A0P5E9W0,E,416,PF03164,35525
A0A0P5EBA5,E,304,mobidb-lite,35525
A0A0P5EHW8,E,494,PF09751,35525
A0A0P5EK18,E,451,PF07767,35525
A0A0P5ES44,E,8857,PF07645,35525
A0A0P5FFU7,E,404,PF00005,35525
A0A0P5FJP5,E,2146,PF00086,35525
A0A0P5FKZ1,E,369,PF03781,35525
A0A0P5FUX8,E,1095,mobidb-lite,35525
A0A0P5FW39,E,2003,mobidb-lite,35525
A0A0P5G198,E,1654,mobidb-lite,35525
A0A0P5G2E6,E,409,PF00067,35525
A0A0P5G647,E,970,PF11935,35525
A0A0P5G726,E,641,PF01302,35525
A0A0P5G9I2,E,744,mobidb-lite,35525
A0A0P5GBB9,E,2850,PF12661,35525
A0A0P5GF06,E,1714,mobidb-lite,35525
A0A0P5GHH1,E,199,PF00107,35525
A0A0P5GHM7,E,769,PF00435,35525
A0A0P5GLC4,E,362,PF01607,35525
A0A0P5GNS8,E,227,PF16922,35525
A0A0P5GPK7,E,1536,mobidb-lite,35525
A0A0P5GRP4,E,361,PF01210,35525
A0A0P5HDG2,E,870,PF02187,35525
A0A0P5HFP8,E,1229,PF00133,35525
A0A0P5HKJ8,E,1460,mobidb-lite,35525
A0A0P5HL02,E,758,PF04055,35525
A0A0P5HLE1,E,1491,PF02785,35525
A0A0P5HQ07,E,4193,mobidb-lite,35525
A0A0P5HQ90,E,1577,mobidb-lite,35525
A0A0P5HR80,E,4239,PF12510,35525
A0A0P5HSW8,E,1014,PF04811,35525
A0A0P5I157,E,405,PF13499,35525
A0A0P5I355,E,1834,PF07645,35525
A0A0P5I379,E,1630,PF00458,35525
A0A0P5I878,E,3656,PF00057,35525
A0A0P5IA66,E,1919,PF00084,35525
A0A0P5IGI0,E,4511,PF00093,35525
A0A0P5IGI0,E,4511,PF00094,35525
A0A0P5IL77,E,1428,PF02196,35525
A0A0P5ILF6,E,179,PF03947,35525
A0A0P5IMQ7,E,1159,PF10513,35525
A0A0P5IP29,E,3075,PF00053,35525
A0A0P5IQE0,E,928,mobidb-lite,35525
A0A0P5IZ47,E,240,PF00379,35525
A0A0P5IZX5,E,737,mobidb-lite,35525
A0A0P5J030,E,1752,PF00008,35525
A0A0P5J2U5,E,765,PF01426,35525
A0A0P5J620,E,608,PF00400,35525
A0A0P5J8S9,E,578,PF00400,35525
A0A0P5JEP0,E,4193,PF16909,35525
A0A0P5JFD0,E,1425,PF12872,35525
A0A0P5JI64,E,2850,PF07645,35525
A0A0P5JJZ0,E,457,mobidb-lite,35525
A0A0P5JK41,E,1188,PF00053,35525
A0A0P5JKN6,E,806,PF10373,35525
A0A0P5JM79,E,3093,PF01049,35525
A0A0P5JSP7,E,1824,mobidb-lite,35525
A0A0P5K3F3,E,1411,mobidb-lite,35525
A0A0P5K5I2,E,598,PF07690,35525
A0A0P5KCM0,E,953,PF08282,35525
A0A0P5KFT4,E,346,PF00400,35525
A0A0P5KMY1,E,2155,PF02822,35525
A0A0P5KSI3,E,216,PF10587,35525
A0A0P5KU38,E,306,PF00227,35525
A0A0P5KU52,E,495,PF04777,35525
A0A0P5KUH5,E,580,PF00595,35525
A0A0P5KV52,E,5778,mobidb-lite,35525
A0A0P5KWJ9,E,1639,mobidb-lite,35525
A0A0P5L253,E,846,PF00735,35525
A0A0P5L888,E,343,mobidb-lite,35525
A0A0P5LZ35,E,1196,PF01403,35525
A0A0P5M568,E,2082,PF00014,35525
A0A0P5M8V3,E,634,PF00046,35525
A0A0P5MD12,E,1300,PF00005,35525
A0A0P5MD77,E,1316,mobidb-lite,35525
A0A0P5MEE4,E,1487,mobidb-lite,35525
A0A0P5MPZ2,E,323,LowComplexity,35525
A0A0P5MSL5,E,859,PF01535,35525
A0A0P5MYB4,E,2119,mobidb-lite,35525
A0A0P5MYC6,E,441,PF00595,35525
A0A0P5N5E6,E,331,PF00852,35525
A0A0P5NC93,E,625,PF08241,35525
A0A0P5NPM9,E,592,PF00001,35525
A0A0P5NU29,E,671,PF03630,35525
A0A0P5NU41,E,1564,mobidb-lite,35525
A0A0P5NX37,E,1156,PF00520,35525
A0A0P5P114,E,745,mobidb-lite,35525
A0A0P5P1G8,E,436,PF02176,35525
A0A0P5P1I4,E,647,PF09727,35525
A0A0P5P7N7,E,641,PF00013,35525
A0A0P5P8N8,E,1923,PF00086,35525
A0A0P5P8S2,E,250,PF00069,35525
A0A0P5PC96,E,2148,mobidb-lite,35525
A0A0P5PR38,E,1933,PF07645,35525
A0A0P5PWJ5,E,1458,PF00047,35525
A0A0P5QE92,E,1590,PF00028,35525
A0A0P5QLM1,E,437,PF00003,35525
A0A0P5QN37,E,511,PF00397,35525
A0A0P5QS47,E,863,CoiledCoil,35525
A0A0P5QSL4,E,385,PF07766,35525
A0A0P5QT26,E,498,mobidb-lite,35525
A0A0P5R957,E,799,PF00397,35525
A0A0P5R9P7,E,279,PF00992,35525
A0A0P5RC52,E,329,PF02845,35525
A0A0P5RCU9,E,632,mobidb-lite,35525
A0A0P5RIB8,E,531,PF00076,35525
A0A0P5RK18,E,678,PF16192,35525
A0A0P5RLV0,E,1012,PF12796,35525
A0A0P5RQX5,E,1222,mobidb-lite,35525
A0A0P5RRD7,E,408,mobidb-lite,35525
A0A0P5RSA6,E,3373,mobidb-lite,35525
A0A0P5RTF9,E,328,mobidb-lite,35525
A0A0P5RTM8,E,243,mobidb-lite,35525
A0A0P5RYG7,E,297,CoiledCoil,35525
A0A0P5RZ65,E,1207,mobidb-lite,35525
A0A0P5S0N6,E,2917,PF00531,35525
A0A0P5S1G0,E,166,PF01151,35525
A0A0P5S2Z0,E,1538,PF01413,35525
A0A0P5S7N0,E,337,PF01064,35525
A0A0P5S9J3,E,396,PF07648,35525
A0A0P5SFB5,E,729,PF04515,35525
A0A0P5SH62,E,754,PF11838,35525
A0A0P5SHB8,E,1875,PF02141,35525
A0A0P5SI99,E,1315,mobidb-lite,35525
A0A0P5SJ72,E,2146,PF00014,35525
A0A0P5SPM4,E,2010,PF00055,35525
A0A0P5SVC1,E,467,PF00208,35525
A0A0P5SX41,E,298,PF01161,35525
A0A0P5T052,E,278,PF01269,35525
A0A0P5T059,E,776,PF00694,35525
A0A0P5T2R1,E,387,mobidb-lite,35525
A0A0P5T3W4,E,234,PF01607,35525
A0A0P5T707,E,393,PF00254,35525
A0A0P5TKP7,E,1125,mobidb-lite,35525
A0A0P5TPA1,E,1798,PF11971,35525
A0A0P5TPZ6,E,564,LowComplexity,35525
A0A0P5TSG1,E,1221,PF16470,35525
A0A0P5TXM1,E,295,PF00168,35525
A0A0P5U000,E,1791,PF14604,35525
A0A0P5U491,E,554,CoiledCoil,35525
A0A0P5U7N0,E,636,PF07502,35525
A0A0P5UA20,E,681,PF02171,35525
A0A0P5UA41,E,423,PF07522,35525
A0A0P5UJF0,E,8195,PF00041,35525
A0A0P5ULV0,E,777,PF00431,35525
A0A0P5V1B7,E,716,mobidb-lite,35525
A0A0P5V4M7,E,426,PF02244,35525
A0A0P5V6R4,E,1058,PF03530,35525
A0A0P5VGD1,E,221,PF15396,35525
A0A0P5VKQ2,E,469,PF09815,35525
A0A0P5VPN2,E,1352,LowComplexity,35525
A0A0P5VQD4,E,397,PF08542,35525
A0A0P5W530,E,1296,mobidb-lite,35525
A0A0P5WEI0,E,216,PF02014,35525
A0A0P5WFD1,E,290,PF01391,35525
A0A0P5WH40,E,656,LowComplexity,35525
A0A0P5WRY4,E,1129,PF09416,35525
A0A0P5X0X6,E,425,PF03129,35525
A0A0P5X177,E,416,mobidb-lite,35525
A0A0P5X190,E,1423,mobidb-lite,35525
A0A0P5X3M4,E,2253,PF06001,35525
A0A0P5X8I8,E,383,PF00821,35525
A0A0P5XFV7,E,4753,PF07645,35525
A0A0P5XKE1,E,8122,PF00041,35525
A0A0P5XKP2,E,535,mobidb-lite,35525
A0A0P5XUN4,E,549,PF03828,35525
A0A0P5XYS1,E,393,PF09765,35525
A0A0P5Y1U4,E,1488,PF00595,35525
A0A0P5Y6Y5,E,467,PF00191,35525
A0A0P5Y9P8,E,461,mobidb-lite,35525
A0A0P5YBU5,E,1572,mobidb-lite,35525
A0A0P5YJ93,E,3385,CoiledCoil,35525
A0A0P5YKJ4,E,435,PF01105,35525
A0A0P5YL31,E,451,PF01391,35525
A0A0P5YSM6,E,1181,CoiledCoil,35525
A0A0P5YUC6,E,1141,PF01388,35525
A0A0P5ZFE7,E,950,PF00041,35525
A0A0P5ZTF2,E,521,PF00155,35525
A0A0P5ZTL9,E,435,PF03828,35525
A0A0P5ZU84,E,184,PF00021,35525
A0A0P5ZYH9,E,301,PF02475,35525
A0A0P5ZYT8,E,1357,mobidb-lite,35525
A0A0P6A387,E,2105,PF00630,35525
A0A0P6ACA7,E,769,mobidb-lite,35525
A0A0P6AGN6,E,3012,mobidb-lite,35525
A0A0P6B023,E,1450,CoiledCoil,35525
A0A0P6B4D3,E,1194,mobidb-lite,35525
A0A0P6BCN7,E,704,PF06418,35525
A0A0P6BGF8,E,280,PF00535,35525
A0A0P6CD47,E,230,PF00643,35525
A0A0P6CK51,E,973,PF08434,35525
A0A0P6CQK2,E,154,PF00431,35525
A0A0P6D6X4,E,248,PF00651,35525
A0A0P6DAN0,E,1005,mobidb-lite,35525
A0A0P6DCF6,E,1034,CoiledCoil,35525
A0A0P6DKT8,E,262,PF00379,35525
A0A0P6DPH2,E,2038,LowComplexity,35525
A0A0P6DWR4,E,5059,mobidb-lite,35525
A0A0P6DXY8,E,552,PF10265,35525
A0A0P6EB89,E,1161,PF00626,35525
A0A0P6EF48,E,2157,PF00095,35525
A0A0P6EF84,E,395,PF13895,35525
A0A0P6EFS0,E,254,PF00071,35525
A0A0P6EGL1,E,450,PF00091,35525
A0A0P6EPI4,E,1384,mobidb-lite,35525
A0A0P6EY34,E,457,PF00089,35525
A0A0P6F0M3,E,641,PF03098,35525
A0A0P6FA36,E,1789,LowComplexity,35525
A0A0P6FGL6,E,1445,LowComplexity,35525
A0A0P6FN43,E,1084,PF02469,35525
A0A0P6FRA8,E,1107,CoiledCoil,35525
A0A0P6FSC6,E,2172,PF00373,35525
A0A0P6FUT6,E,1825,PF00620,35525
A0A0P6FXK7,E,843,PF00536,35525
A0A0P6G8H6,E,352,PF01603,35525
A0A0P6GH69,E,1993,PF00271,35525
A0A0P6GM05,E,482,PF00703,35525
A0A0P6HJ16,E,346,mobidb-lite,35525
A0A0P6HM41,E,518,PF00400,35525
A0A0P6HSN0,E,231,PF03962,35525
A0A0P6HWA8,E,380,PF00089,35525
A0A0P6IE45,E,720,PF00664,35525
A0A0P6IFH9,E,2238,mobidb-lite,35525
A0A0P6IK41,E,689,LowComplexity,35525
A0A0P6IPN8,E,834,PF07766,35525
A0A0P6J9Q3,E,462,PF10613,35525
A0A0P6JC68,E,1144,PF00612,35525
A0A0P6JFJ5,E,1728,PF00880,10181
A0A0P6JNT6,E,155,PF00046,35525
A0A0P6JYG4,E,558,PF07139,10181
A0A0P6K0X1,E,3049,mobidb-lite,7159
A0A0P7AFY0,E,993,mobidb-lite,78410
A0A0P7B3A7,E,944,PF02383,78410
A0A0P7B841,E,293,mobidb-lite,78410
A0A0P7BB06,E,1677,mobidb-lite,78410
A0A0P7BD84,E,385,PF00735,78410
A0A0P7BGK1,E,465,PF03127,78410
A0A0P7BMQ2,E,838,mobidb-lite,78410
A0A0P7U5L4,E,209,PF14800,113540
A0A0P7UA56,E,206,PF00017,113540
A0A0P7UCF9,E,160,PF00644,113540
A0A0P7UGB8,E,995,PF02204,113540
A0A0P7UHA1,E,976,PF00057,113540
A0A0P7UHV0,E,737,PF00079,113540
A0A0P7UQV4,E,429,PF15295,113540
A0A0P7UT47,E,831,PF04818,113540
A0A0P7UVN5,E,516,mobidb-lite,113540
A0A0P7UWA8,E,213,PF00010,113540
A0A0P7V0S3,E,239,mobidb-lite,113540
A0A0P7V7Y7,E,684,mobidb-lite,113540
A0A0P7VCE2,E,473,PF14575,113540
A0A0P7WQH4,E,503,PF00620,113540
A0A0P7WSE3,E,1349,PF00536,113540
A0A0P7XXU6,E,3961,PF08043,113540
A0A0P7Y9Q5,E,1053,PF12796,113540
A0A0P7YD20,E,2568,PF00041,113540
A0A0P7YYB0,E,684,PF00041,113540
A0A0P8XEB4,E,894,mobidb-lite,7217
A0A0P8XJ52,E,965,mobidb-lite,7217
A0A0P8XJI8,E,6349,PF07679,7217
A0A0P8XLW5,E,2258,CoiledCoil,7217
A0A0P8XPW4,E,2043,PF07679,7217
A0A0P8XQG8,E,1682,PF16183,7217
A0A0P8XRF5,E,8701,CoiledCoil,7217
A0A0P8XRX9,E,1629,mobidb-lite,7217
A0A0P8XSI0,E,557,mobidb-lite,7217
A0A0P8XVW2,E,2830,mobidb-lite,7217
A0A0P8XWC3,E,322,PF00782,7217
A0A0P8XY53,E,16272,PF07645,7217
A0A0P8XYX4,E,1502,mobidb-lite,7217
A0A0P8Y026,E,744,PF10517,7217
A0A0P8Y7L4,E,2151,LowComplexity,7217
A0A0P9A3B3,E,886,mobidb-lite,7217
A0A0P9AU49,E,1308,mobidb-lite,7217
A0A0P9C0Q5,E,8793,PF00435,7217
A0A0P9C3Q0,E,2794,PF00435,7217
A0A0Q3E6S6,E,444,mobidb-lite,15368
A0A0Q3EHU5,E,674,PF13947,15368
A0A0Q3EPD4,E,1034,PF08628,15368
A0A0Q3FCH6,E,5337,PF07728,15368
A0A0Q3FD86,E,354,PF00722,15368
A0A0Q3G0U7,E,319,PF00076,15368
A0A0Q3HHY9,E,1917,mobidb-lite,15368
A0A0Q3IEY0,E,315,PF00651,15368
A0A0Q3IQG8,E,926,PF00931,15368
A0A0Q3JWY1,E,430,PF12796,15368
A0A0Q3M3R3,E,2119,PF07645,12930
A0A0Q3M635,E,654,PF00400,12930
A0A0Q3MAT0,E,2018,PF03832,12930
A0A0Q3MQK2,E,150,PF01217,12930
A0A0Q3NCT7,E,466,PF00400,15368
A0A0Q3P1P0,E,1930,PF00271,15368
A0A0Q3PAQ9,E,292,PF00804,12930
A0A0Q3PJR8,E,2912,PF00975,12930
A0A0Q3PN95,E,817,PF00028,12930
A0A0Q3PTX7,E,2146,PF12423,12930
A0A0Q3PV38,E,424,PF02709,12930
A0A0Q3QQC0,E,803,PF00069,12930
A0A0Q3S497,E,1271,PF00249,15368
A0A0Q3T7F0,E,911,PF07774,12930
A0A0Q3TN11,E,843,PF07679,12930
A0A0Q3TPV0,E,1083,PF00324,12930
A0A0Q3UQN9,E,507,mobidb-lite,12930
A0A0Q3USI2,E,507,PF00008,12930
A0A0Q3USJ5,E,561,mobidb-lite,12930
A0A0Q5T3I5,E,1649,mobidb-lite,7220
A0A0Q5T3T6,E,564,PF00520,7220
A0A0Q5T5V1,E,3373,mobidb-lite,7220
A0A0Q5U3C6,E,1380,PF05622,7220
A0A0Q5U518,E,1242,PF15898,7220
A0A0Q5U9R3,E,1015,PF08205,7220
A0A0Q5UHA6,E,2928,mobidb-lite,7220
A0A0Q5VLK1,E,812,mobidb-lite,7220
A0A0Q5VWD1,E,1205,PF00412,7220
A0A0Q5WAZ5,E,651,PF02412,7220
A0A0Q9W369,E,5125,mobidb-lite,7244
A0A0Q9W4B7,E,1492,mobidb-lite,7244
A0A0Q9WH90,E,942,LowComplexity,7244
A0A0Q9WIW5,E,1573,mobidb-lite,7244
A0A0Q9WLX6,E,1797,CoiledCoil,7244
A0A0Q9WMJ4,E,8971,PF00041,7244
A0A0Q9WRL5,E,933,mobidb-lite,7260
A0A0Q9WYI8,E,746,mobidb-lite,7260
A0A0Q9X3E8,E,178,PF00572,7230
A0A0Q9X4K6,E,1063,mobidb-lite,7260
A0A0Q9X4T5,E,1447,mobidb-lite,7260
A0A0Q9X9R4,E,1788,mobidb-lite,7230
A0A0Q9X9Z4,E,3118,PF00435,7230
A0A0Q9XGH9,E,593,PF04103,7230
A0A0Q9XPU5,E,621,mobidb-lite,7230
A0A0R0ECK5,E,350,PF06200,3847
A0A0R0F7J2,E,381,PF00514,3847
A0A0R0FAI5,E,314,PF02362,3847
A0A0R0FDQ3,E,872,PF13855,3847
A0A0R0FV78,E,265,PF04525,3847
A0A0R0GCD9,E,1348,PF14214,3847
A0A0R0GJU3,E,221,PF00582,3847
A0A0R0GKR9,E,1268,PF14214,3847
A0A0R0H583,E,318,PF05634,3847
A0A0R0HN41,E,108,mobidb-lite,3847
A0A0R0HUU5,E,334,PF07724,3847
A0A0R0IKH4,E,387,mobidb-lite,3847
A0A0R0J7H3,E,350,PF04321,3847
A0A0R0JUI2,E,374,PF03141,3847
A0A0R0K0Z0,E,1184,mobidb-lite,3847
A0A0R0LFT5,E,1099,PF07719,3847
A0A0R0LWT8,E,368,PF07479,146866
A0A0R0LZP9,E,202,PF02926,146866
A0A0R1DQG8,E,1721,PF16511,7245
A0A0R1DSQ1,E,1712,PF12796,7245
A0A0R1DUJ0,E,11120,PF07679,7245
A0A0R1DUK3,E,2846,mobidb-lite,7245
A0A0R1DW80,E,1048,mobidb-lite,7245
A0A0R1E1Q0,E,1688,mobidb-lite,7245
A0A0R1E468,E,1066,mobidb-lite,7245
A0A0R1E606,E,1344,mobidb-lite,7245
A0A0R1E688,E,751,mobidb-lite,7245
A0A0R1EA53,E,608,LowComplexity,7245
A0A0R1EC41,E,8970,PF00041,7245
A0A0R1EC46,E,1368,PF01839,7245
A0A0R1EDW0,E,8961,PF00041,7245
A0A0R1EFV4,E,4250,PF00053,7245
A0A0R1EHB4,E,4593,PF00057,7245
A0A0R3P9S7,E,6688,PF07679,334426
A0A0R3PBT8,E,191,PF13405,334426
A0A0R3PHP6,E,235,PF03271,334426
A0A0R3PJV6,E,264,mobidb-lite,334426
A0A0R3PK74,E,466,PF05739,334426
A0A0R3PQ00,E,647,PF12755,334426
A0A0R3QW93,E,48,PF03501,42155
A0A0R3R8E8,E,307,PF00168,42155
A0A0R3RI24,E,391,PF03644,1147741
A0A0R3RPP4,E,205,PF01607,1147741
A0A0R3RPU8,E,1249,PF00005,1147741
A0A0R3RYW8,E,429,PF14875,1147741
A0A0R3S0M1,E,147,PF00104,1147741
A0A0R3S6R9,E,730,PF00629,1147741
A0A0R3S9L3,E,678,mobidb-lite,6216
A0A0R3SC09,E,211,PF00782,6216
A0A0R3SHV1,E,748,PF02184,6216
A0A0R3SR79,E,244,PF08190,6216
A0A0R3SWU4,E,561,mobidb-lite,6216
A0A0R3T0B0,E,619,CoiledCoil,102285
A0A0R3T2Y4,E,605,PF01336,102285
A0A0R3T4H5,E,354,PF00112,102285
A0A0R3T9P2,E,294,PF16099,102285
A0A0R3TAR5,E,690,PF07521,102285
A0A0R3TD18,E,186,PF09379,102285
A0A0R3TNX6,E,385,PF09745,102285
A0A0R3TQJ5,E,424,mobidb-lite,102285
A0A0R3TY08,E,638,PF00005,102285
A0A0R3UBS5,E,496,PF00144,53468
A0A0R3UE55,E,1112,PF00244,53468
A0A0R3UIP0,E,305,PF00153,53468
A0A0R3VSS9,E,2898,LowComplexity,60517
A0A0R3W8J9,E,774,mobidb-lite,60517
A0A0R3WNN0,E,452,PF01369,6205
A0A0R3X3G1,E,947,mobidb-lite,6205
A0A0R4I9S8,E,166,PF05821,7955
A0A0R4IDF1,E,1100,PF13516,7955
A0A0R4IF59,E,523,PF02453,7955
A0A0R4IIY9,E,4890,mobidb-lite,7955
A0A0R4IN41,E,738,PF12925,7955
A0A0R4IWC8,E,1544,PF14652,7955
A0A0R6LHB6,E,1432,PF04998,84614
A0A0R6M5F1,E,362,PF00605,6689
A0A0R6VTG9,E,219,PF00115,1660684
A0A0S0GAN7,E,215,PF00573,2872
A0A0S0ZH49,E,510,PF00361,1085096
A0A0S0ZH78,E,120,PF00507,1197917
A0A0S1GY65,E,193,PF00115,1721615
A0A0S1HTD6,E,187,PF00115,1710215
A0A0S1IH33,E,191,PF00115,1741592
A0A0S1ITT6,E,189,PF00115,1693630
A0A0S1IZ64,E,195,PF00115,1740937
A0A0S1J7M6,E,173,PF00115,1291960
A0A0S1LJS8,E,380,PF00033,486222
A0A0S1LL16,E,235,PF00115,1472221
A0A0S1NFW8,E,269,PF00115,1745576
A0A0S1RLK0,E,190,PF12820,1743240
A0A0S1S334,E,90,PF00312,1747705
A0A0S1U3N0,E,735,PF07218,5850
A0A0S1W526,E,335,PF00032,1740171
A0A0S1Z1A9,E,181,PF00016,544549
A0A0S2EH21,E,176,PF00115,7038
A0A0S2IB47,E,234,PF00119,264121
A0A0S2IBS1,E,285,PF00380,47781
A0A0S2IDH5,E,507,PF00006,51712
A0A0S2IL47,E,268,PF02788,210448
A0A0S2LLN8,E,67,PF00895,1756214
A0A0S2MAE5,E,651,PF05758,182415
A0A0S2PI25,E,210,PF12947,5858
A0A0S2R190,E,195,PF00115,1725959
A0A0S2REN0,E,223,PF00115,1692871
A0A0S2SQA5,E,64,PF00969,48850
A0A0S2SX98,E,346,PF06444,1759690
A0A0S2SZZ7,E,316,mobidb-lite,188299
A0A0S2ZYW5,E,1160,mobidb-lite,9749
A0A0S3GPQ3,E,210,PF00115,1694622
A0A0S3GYT7,E,189,PF00115,1492617
A0A0S3HAA7,E,198,PF00115,169445
A0A0S3HYZ3,E,204,PF00115,113150
A0A0S3I4G3,E,219,PF00115,1750024
A0A0S3I7R5,E,187,PF00115,1474022
A0A0S3IAM9,E,182,PF00115,1692756
A0A0S3IUG2,E,101,PF00091,306554
A0A0S4ITF0,E,646,mobidb-lite,75058
A0A0S4J0Z2,E,1121,mobidb-lite,75058
A0A0S4JBL0,E,865,mobidb-lite,75058
A0A0S4JJ02,E,629,PF00400,75058
A0A0S4JSS8,E,631,PF07810,75058
A0A0S4KJ47,E,2100,mobidb-lite,75058
A0A0S4KKJ7,E,1219,PF12796,75058
A0A0S4MMC5,E,836,mobidb-lite,85433
A0A0S4T859,E,303,PF00412,85433
A0A0S6X2U4,E,731,mobidb-lite,1603295
A0A0S6X3S6,E,306,PF13344,1603295
A0A0S6X8L3,E,964,PF10996,1603295
A0A0S6XDD8,E,544,mobidb-lite,1603295
A0A0S6XHP6,E,496,mobidb-lite,1603295
A0A0S6XHV9,E,319,PF00153,1603295
A0A0S6XNR7,E,590,PF00501,1603295
A0A0S6XQM2,E,489,mobidb-lite,1603295
A0A0S7DH01,E,437,mobidb-lite,293939
A0A0S7DMA3,E,620,PF14022,293939
A0A0S7DMH7,E,1441,mobidb-lite,293939
A0A0S7DVC9,E,118,mobidb-lite,293939
A0A0S7DXI8,E,416,mobidb-lite,293939
A0A0S7E609,E,1107,mobidb-lite,293939
A0A0S7ET42,E,114,mobidb-lite,188132
A0A0S7F011,E,808,PF00630,188132
A0A0S7F0T3,E,134,PF08337,188132
A0A0S7F1X5,E,1091,PF01833,188132
A0A0S7F2A6,E,1269,PF06009,188132
A0A0S7FKM1,E,662,PF01805,188132
A0A0S7FNP4,E,374,PF07679,188132
A0A0S7FUL1,E,586,mobidb-lite,188132
A0A0S7FUP9,E,337,PF00536,188132
A0A0S7FZH5,E,374,PF00084,188132
A0A0S7G8B9,E,408,PF00307,188132
A0A0S7GD26,E,277,PF00017,188132
A0A0S7GDL7,E,320,PF00002,188132
A0A0S7GRZ1,E,377,mobidb-lite,188132
A0A0S7GUF2,E,439,PF15433,188132
A0A0S7GUL4,E,862,PF14604,188132
A0A0S7GV09,E,106,PF00989,188132
A0A0S7GYM8,E,143,PF00780,188132
A0A0S7H101,E,194,mobidb-lite,188132
A0A0S7H5J5,E,786,CoiledCoil,188132
A0A0S7HHN9,E,363,PF00439,188132
A0A0S7HR71,E,104,PF03813,188132
A0A0S7HXL5,E,249,PF04810,188132
A0A0S7IFZ1,E,447,mobidb-lite,188132
A0A0S7IJC6,E,105,PF00046,188132
A0A0S7IJE8,E,255,PF00629,188132
A0A0S7IT37,E,171,PF00055,188132
A0A0S7J435,E,132,mobidb-lite,188132
A0A0S7J497,E,1017,PF00041,188132
A0A0S7J6Y1,E,755,mobidb-lite,188132
A0A0S7J709,E,1917,PF00053,188132
A0A0S7J7F6,E,321,PF07679,188132
A0A0S7JBL3,E,279,PF00209,188132
A0A0S7JGR3,E,171,PF00038,188132
A0A0S7JP52,E,486,PF07679,188132
A0A0S7JV52,E,269,PF00415,188132
A0A0S7JZQ2,E,538,PF00514,188132
A0A0S7K1E1,E,109,PF05089,188132
A0A0S7K934,E,1227,PF08065,188132
A0A0S7KNE0,E,351,PF00041,188132
A0A0S7KRH2,E,853,PF00028,188132
A0A0S7KSC7,E,476,PF00105,188132
A0A0S7L4A9,E,265,mobidb-lite,188132
A0A0S7L5E2,E,100,PF00063,188132
A0A0S7L6G0,E,320,PF16744,188132
A0A0S7LHC7,E,104,PF00226,188132
A0A0S7LRD8,E,268,mobidb-lite,188132
A0A0S7LYE4,E,490,PF00041,188132
A0A0S7M7E2,E,213,PF07687,188132
A0A0S7MBS8,E,281,PF00028,188132
A0A0S7MCU3,E,149,PF05361,188132
A0A0T6AVK0,E,887,mobidb-lite,1629725
A0A0T6AWM2,E,590,PF00400,1629725
A0A0T6AWR0,E,2183,PF15780,1629725
A0A0T6AXP4,E,488,PF00035,1629725
A0A0T6B4V6,E,976,mobidb-lite,1629725
A0A0T6BDJ1,E,1358,mobidb-lite,1629725
A0A0T6BER6,E,1209,PF00664,1629725
A0A0U1LJI6,E,610,PF00686,28573
A0A0U1LLP0,E,523,PF13634,28573
A0A0U1LMU2,E,1118,mobidb-lite,28573
A0A0U1LNZ8,E,713,PF00787,28573
A0A0U1LTM7,E,460,PF08643,28573
A0A0U1LVP2,E,537,mobidb-lite,28573
A0A0U1XDN2,E,230,PF00116,1550065
A0A0U1Y7W6,E,459,PF00361,39384
A0A0U1YQ09,E,120,PF00110,616205
